ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,unit_id,func,network_direction,address,quantity,values,Time
1593264452.167589,CDmBQ44DZTqzTlgDs6,123.145.120.99,23680,123.145.120.102,502,1,WRITE_SINGLE_COIL,request,8,1,F,1593264452.167589
1593264452.170731,CDmBQ44DZTqzTlgDs6,123.145.120.99,23680,123.145.120.102,502,1,WRITE_SINGLE_COIL,response,8,1,F,1593264452.170731
1593264452.170877,CDmBQ44DZTqzTlgDs6,123.145.120.99,23680,123.145.120.102,502,1,WRITE_SINGLE_COIL,request,9,1,F,1593264452.170877
1593264452.174241,CDmBQ44DZTqzTlgDs6,123.145.120.99,23680,123.145.120.102,502,1,WRITE_SINGLE_COIL,response,9,1,F,1593264452.174241
1593264452.174285,CDmBQ44DZTqzTlgDs6,123.145.120.99,23680,123.145.120.102,502,1,WRITE_SINGLE_COIL,request,10,1,F,1593264452.174285
1593264452.177527,CDmBQ44DZTqzTlgDs6,123.145.120.99,23680,123.145.120.102,502,1,WRITE_SINGLE_COIL,response,10,1,F,1593264452.177527
1593264452.177632,CDmBQ44DZTqzTlgDs6,123.145.120.99,23680,123.145.120.102,502,1,WRITE_SINGLE_COIL,request,11,1,F,1593264452.177632
1593264452.18079,CDmBQ44DZTqzTlgDs6,123.145.120.99,23680,123.145.120.102,502,1,WRITE_SINGLE_COIL,response,11,1,F,1593264452.18079
1593264452.180895,CDmBQ44DZTqzTlgDs6,123.145.120.99,23680,123.145.120.102,502,1,WRITE_SINGLE_COIL,request,12,1,F,1593264452.180895
1593264452.184099,CDmBQ44DZTqzTlgDs6,123.145.120.99,23680,123.145.120.102,502,1,WRITE_SINGLE_COIL,response,12,1,F,1593264452.184099
1593264452.184215,CDmBQ44DZTqzTlgDs6,123.145.120.99,23680,123.145.120.102,502,1,WRITE_SINGLE_COIL,request,13,1,F,1593264452.184215
